Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
"HØLAND OG SETSKOG";NO0010012636;HSPG;"Oslo Børs";NOK;155.00;162.00;153.00;158.00;"13/05/2022 15:54";CET;655;101495.00
"ICE FISH FARM";NO0010884794;IFISH;"Euronext Growth Oslo";NOK;34.20;34.20;31.90;31.90;"13/05/2022 16:25";CET;2679;88296.30
"ICELANDIC SALMON";NO0010724701;ISLAX;"Euronext Growth Oslo";NOK;150.00;150.00;145.00;147.00;"13/05/2022 16:25";CET;4016;590923.00
"IDEX BIOMETRICS";NO0003070609;IDEX;"Oslo Børs";NOK;1.08;1.20;1.08;1.143;"13/05/2022 16:25";CET;10109996;11535591.399
INDUCT;NO0010536048;INDCT;"Euronext Growth Oslo";NOK;6.00;6.00;6.00;6.00;"13/05/2022 09:10";CET;500;3000.00
INSR;NO0010593544;INSR;"Oslo Børs";NOK;0.156;0.179;0.15;0.1785;"13/05/2022 16:25";CET;1692199;268313.1785
INSTABANK;NO0010762792;INSTA;"Euronext Growth Oslo";NOK;3.72;3.72;3.72;3.72;"13/05/2022 14:41";CET;1000;3720.00
"INTEGRATED WIND SO";NO0010955883;IWS;"Euronext Growth Oslo";NOK;32.60;33.60;31.80;33.60;"11/05/2022 15:46";CET;2104;68376.00
"INTEROIL EXPL PROD";NO0010284318;IOX;"Oslo Børs";NOK;1.72;1.816;1.682;1.726;"13/05/2022 16:25";CET;3497697;6059482.504
ITERA;NO0010001118;ITERA;"Oslo Børs";NOK;11.40;11.90;11.20;11.90;"13/05/2022 16:25";CET;31676;357690.20
"JINHUI SHIPP TRANS";BMG5137R1088;JIN;"Oslo Børs";NOK;16.00;16.42;16.00;16.36;"13/05/2022 16:25";CET;228824;3715866.80
"JÆREN SPAREBANK";NO0010359433;JAREN;"Oslo Børs";NOK;238.00;238.00;238.00;238.00;"13/05/2022 16:14";CET;100;23800.00
KAHOOT!;NO0010823131;KAHOT;"Oslo Børs";NOK;22.04;23.64;21.81;23.60;"13/05/2022 16:25";CET;5978097;137427617.91
KALERA;NO0010874597;KAL;"Euronext Growth Oslo";NOK;4.205;4.41;4.12;4.19;"13/05/2022 16:25";CET;322707;1354552.715
KID;NO0010743545;KID;"Oslo Børs";NOK;94.80;96.50;93.20;96.00;"13/05/2022 16:25";CET;51611;4916208.90
